Year,Bank,Currency,Rate_12M_Pct,Bank_KR
2004,KDB,JPY,0.06,산업은행 (KDB)
2005,KDB,JPY,0.09,산업은행 (KDB)
2006,KDB,JPY,0.42,산업은행 (KDB)
2007,KDB,JPY,0.78,산업은행 (KDB)
2008,KDB,JPY,0.82,산업은행 (KDB)
2009,KDB,JPY,0.42,산업은행 (KDB)
2010,KDB,JPY,0.22,산업은행 (KDB)
2011,KDB,JPY,0.18,산업은행 (KDB)
2012,KDB,JPY,0.18,산업은행 (KDB)
2013,KDB,JPY,0.13,산업은행 (KDB)
2014,KDB,JPY,0.1,산업은행 (KDB)
2015,KDB,JPY,0.07,산업은행 (KDB)
2016,KDB,JPY,0.02,산업은행 (KDB)
2017,KDB,JPY,0.02,산업은행 (KDB)
2018,KDB,JPY,0.02,산업은행 (KDB)
2019,KDB,JPY,0.02,산업은행 (KDB)
2004,Shinhan,JPY,0.04,신한은행 (Shinhan Bank)
2005,Shinhan,JPY,0.07,신한은행 (Shinhan Bank)
2006,Shinhan,JPY,0.38,신한은행 (Shinhan Bank)
2007,Shinhan,JPY,0.73,신한은행 (Shinhan Bank)
2008,Shinhan,JPY,0.78,신한은행 (Shinhan Bank)
2009,Shinhan,JPY,0.38,신한은행 (Shinhan Bank)
2010,Shinhan,JPY,0.18,신한은행 (Shinhan Bank)
2011,Shinhan,JPY,0.14,신한은행 (Shinhan Bank)
2012,Shinhan,JPY,0.14,신한은행 (Shinhan Bank)
2013,Shinhan,JPY,0.09,신한은행 (Shinhan Bank)
2014,Shinhan,JPY,0.07,신한은행 (Shinhan Bank)
2015,Shinhan,JPY,0.04,신한은행 (Shinhan Bank)
2016,Shinhan,JPY,0.01,신한은행 (Shinhan Bank)
2017,Shinhan,JPY,0.01,신한은행 (Shinhan Bank)
2018,Shinhan,JPY,0.01,신한은행 (Shinhan Bank)
2019,Shinhan,JPY,0.01,신한은행 (Shinhan Bank)
2004,KEB_Hana,JPY,0.05,외환은행/KEB하나은행
2005,KEB_Hana,JPY,0.08,외환은행/KEB하나은행
2006,KEB_Hana,JPY,0.4,외환은행/KEB하나은행
2007,KEB_Hana,JPY,0.76,외환은행/KEB하나은행
2008,KEB_Hana,JPY,0.8,외환은행/KEB하나은행
2009,KEB_Hana,JPY,0.4,외환은행/KEB하나은행
2010,KEB_Hana,JPY,0.2,외환은행/KEB하나은행
2011,KEB_Hana,JPY,0.16,외환은행/KEB하나은행
2012,KEB_Hana,JPY,0.16,외환은행/KEB하나은행
2013,KEB_Hana,JPY,0.11,외환은행/KEB하나은행
2014,KEB_Hana,JPY,0.08,외환은행/KEB하나은행
2015,KEB_Hana,JPY,0.05,외환은행/KEB하나은행
2016,KEB_Hana,JPY,0.01,외환은행/KEB하나은행
2017,KEB_Hana,JPY,0.01,외환은행/KEB하나은행
2018,KEB_Hana,JPY,0.01,외환은행/KEB하나은행
2019,KEB_Hana,JPY,0.01,외환은행/KEB하나은행
2004,KB,JPY,0.04,국민은행 (KB Kookmin)
2005,KB,JPY,0.07,국민은행 (KB Kookmin)
2006,KB,JPY,0.37,국민은행 (KB Kookmin)
2007,KB,JPY,0.72,국민은행 (KB Kookmin)
2008,KB,JPY,0.77,국민은행 (KB Kookmin)
2009,KB,JPY,0.37,국민은행 (KB Kookmin)
2010,KB,JPY,0.17,국민은행 (KB Kookmin)
2011,KB,JPY,0.13,국민은행 (KB Kookmin)
2012,KB,JPY,0.13,국민은행 (KB Kookmin)
2013,KB,JPY,0.08,국민은행 (KB Kookmin)
2014,KB,JPY,0.06,국민은행 (KB Kookmin)
2015,KB,JPY,0.04,국민은행 (KB Kookmin)
2016,KB,JPY,0.01,국민은행 (KB Kookmin)
2017,KB,JPY,0.01,국민은행 (KB Kookmin)
2018,KB,JPY,0.01,국민은행 (KB Kookmin)
2019,KB,JPY,0.01,국민은행 (KB Kookmin)
2004,IBK,JPY,0.05,IBK기업은행 (IBK)
2005,IBK,JPY,0.08,IBK기업은행 (IBK)
2006,IBK,JPY,0.39,IBK기업은행 (IBK)
2007,IBK,JPY,0.75,IBK기업은행 (IBK)
2008,IBK,JPY,0.8,IBK기업은행 (IBK)
2009,IBK,JPY,0.39,IBK기업은행 (IBK)
2010,IBK,JPY,0.19,IBK기업은행 (IBK)
2011,IBK,JPY,0.15,IBK기업은행 (IBK)
2012,IBK,JPY,0.15,IBK기업은행 (IBK)
2013,IBK,JPY,0.1,IBK기업은행 (IBK)
2014,IBK,JPY,0.08,IBK기업은행 (IBK)
2015,IBK,JPY,0.05,IBK기업은행 (IBK)
2016,IBK,JPY,0.01,IBK기업은행 (IBK)
2017,IBK,JPY,0.01,IBK기업은행 (IBK)
2018,IBK,JPY,0.01,IBK기업은행 (IBK)
2019,IBK,JPY,0.01,IBK기업은행 (IBK)
2004,NH,JPY,0.04,NH농협은행 (NH Nonghyup)
2005,NH,JPY,0.07,NH농협은행 (NH Nonghyup)
2006,NH,JPY,0.36,NH농협은행 (NH Nonghyup)
2007,NH,JPY,0.71,NH농협은행 (NH Nonghyup)
2008,NH,JPY,0.76,NH농협은행 (NH Nonghyup)
2009,NH,JPY,0.36,NH농협은행 (NH Nonghyup)
2010,NH,JPY,0.16,NH농협은행 (NH Nonghyup)
2011,NH,JPY,0.12,NH농협은행 (NH Nonghyup)
2012,NH,JPY,0.12,NH농협은행 (NH Nonghyup)
2013,NH,JPY,0.07,NH농협은행 (NH Nonghyup)
2014,NH,JPY,0.05,NH농협은행 (NH Nonghyup)
2015,NH,JPY,0.03,NH농협은행 (NH Nonghyup)
2016,NH,JPY,0.01,NH농협은행 (NH Nonghyup)
2017,NH,JPY,0.01,NH농협은행 (NH Nonghyup)
2018,NH,JPY,0.01,NH농협은행 (NH Nonghyup)
2019,NH,JPY,0.01,NH농협은행 (NH Nonghyup)
2004,Woori,CNY,1.7,우리은행 (Woori Bank)
2005,Woori,CNY,1.7,우리은행 (Woori Bank)
2006,Woori,CNY,1.98,우리은행 (Woori Bank)
2007,Woori,CNY,3.5,우리은행 (Woori Bank)
2008,Woori,CNY,1.7,우리은행 (Woori Bank)
2009,Woori,CNY,1.7,우리은행 (Woori Bank)
2010,Woori,CNY,2.2,우리은행 (Woori Bank)
2011,Woori,CNY,2.9,우리은행 (Woori Bank)
2012,Woori,CNY,2.5,우리은행 (Woori Bank)
2013,Woori,CNY,2.5,우리은행 (Woori Bank)
2014,Woori,CNY,2.2,우리은행 (Woori Bank)
2015,Woori,CNY,1.0,우리은행 (Woori Bank)
2016,Woori,CNY,0.9,우리은행 (Woori Bank)
2017,Woori,CNY,0.85,우리은행 (Woori Bank)
2018,Woori,CNY,0.8,우리은행 (Woori Bank)
2019,Woori,CNY,0.75,우리은행 (Woori Bank)
2004,KDB,CNY,1.8,산업은행 (KDB)
2005,KDB,CNY,1.8,산업은행 (KDB)
2006,KDB,CNY,2.05,산업은행 (KDB)
2007,KDB,CNY,3.6,산업은행 (KDB)
2008,KDB,CNY,1.8,산업은행 (KDB)
2009,KDB,CNY,1.8,산업은행 (KDB)
2010,KDB,CNY,2.3,산업은행 (KDB)
2011,KDB,CNY,3.0,산업은행 (KDB)
2012,KDB,CNY,2.6,산업은행 (KDB)
2013,KDB,CNY,2.6,산업은행 (KDB)
2014,KDB,CNY,2.3,산업은행 (KDB)
2015,KDB,CNY,1.1,산업은행 (KDB)
2016,KDB,CNY,1.0,산업은행 (KDB)
2017,KDB,CNY,0.9,산업은행 (KDB)
2018,KDB,CNY,0.85,산업은행 (KDB)
2019,KDB,CNY,0.8,산업은행 (KDB)
2004,Shinhan,CNY,1.65,신한은행 (Shinhan Bank)
2005,Shinhan,CNY,1.65,신한은행 (Shinhan Bank)
2006,Shinhan,CNY,1.95,신한은행 (Shinhan Bank)
2007,Shinhan,CNY,3.45,신한은행 (Shinhan Bank)
2008,Shinhan,CNY,1.65,신한은행 (Shinhan Bank)
2009,Shinhan,CNY,1.65,신한은행 (Shinhan Bank)
2010,Shinhan,CNY,2.15,신한은행 (Shinhan Bank)
2011,Shinhan,CNY,2.85,신한은행 (Shinhan Bank)
2012,Shinhan,CNY,2.45,신한은행 (Shinhan Bank)
2013,Shinhan,CNY,2.45,신한은행 (Shinhan Bank)
2014,Shinhan,CNY,2.15,신한은행 (Shinhan Bank)
2015,Shinhan,CNY,0.95,신한은행 (Shinhan Bank)
2016,Shinhan,CNY,0.85,신한은행 (Shinhan Bank)
2017,Shinhan,CNY,0.8,신한은행 (Shinhan Bank)
2018,Shinhan,CNY,0.75,신한은행 (Shinhan Bank)
2019,Shinhan,CNY,0.7,신한은행 (Shinhan Bank)
2004,KEB_Hana,CNY,1.75,외환은행/KEB하나은행
2005,KEB_Hana,CNY,1.75,외환은행/KEB하나은행
2006,KEB_Hana,CNY,2.0,외환은행/KEB하나은행
2007,KEB_Hana,CNY,3.55,외환은행/KEB하나은행
2008,KEB_Hana,CNY,1.75,외환은행/KEB하나은행
2009,KEB_Hana,CNY,1.75,외환은행/KEB하나은행
2010,KEB_Hana,CNY,2.25,외환은행/KEB하나은행
2011,KEB_Hana,CNY,2.95,외환은행/KEB하나은행
2012,KEB_Hana,CNY,2.55,외환은행/KEB하나은행
2013,KEB_Hana,CNY,2.55,외환은행/KEB하나은행
2014,KEB_Hana,CNY,2.25,외환은행/KEB하나은행
2015,KEB_Hana,CNY,1.05,외환은행/KEB하나은행
2016,KEB_Hana,CNY,0.95,외환은행/KEB하나은행
2017,KEB_Hana,CNY,0.88,외환은행/KEB하나은행
2018,KEB_Hana,CNY,0.82,외환은행/KEB하나은행
2019,KEB_Hana,CNY,0.78,외환은행/KEB하나은행
2004,KB,CNY,1.6,국민은행 (KB Kookmin)
2005,KB,CNY,1.6,국민은행 (KB Kookmin)
2006,KB,CNY,1.9,국민은행 (KB Kookmin)
2007,KB,CNY,3.4,국민은행 (KB Kookmin)
2008,KB,CNY,1.6,국민은행 (KB Kookmin)
2009,KB,CNY,1.6,국민은행 (KB Kookmin)
2010,KB,CNY,2.1,국민은행 (KB Kookmin)
2011,KB,CNY,2.8,국민은행 (KB Kookmin)
2012,KB,CNY,2.4,국민은행 (KB Kookmin)
2013,KB,CNY,2.4,국민은행 (KB Kookmin)
2014,KB,CNY,2.1,국민은행 (KB Kookmin)
2015,KB,CNY,0.9,국민은행 (KB Kookmin)
2016,KB,CNY,0.8,국민은행 (KB Kookmin)
2017,KB,CNY,0.75,국민은행 (KB Kookmin)
2018,KB,CNY,0.7,국민은행 (KB Kookmin)
2019,KB,CNY,0.65,국민은행 (KB Kookmin)
2004,IBK,CNY,1.75,IBK기업은행 (IBK)
2005,IBK,CNY,1.75,IBK기업은행 (IBK)
2006,IBK,CNY,2.0,IBK기업은행 (IBK)
2007,IBK,CNY,3.55,IBK기업은행 (IBK)
2008,IBK,CNY,1.75,IBK기업은행 (IBK)
2009,IBK,CNY,1.75,IBK기업은행 (IBK)
2010,IBK,CNY,2.25,IBK기업은행 (IBK)
2011,IBK,CNY,2.95,IBK기업은행 (IBK)
2012,IBK,CNY,2.55,IBK기업은행 (IBK)
2013,IBK,CNY,2.55,IBK기업은행 (IBK)
2014,IBK,CNY,2.25,IBK기업은행 (IBK)
2015,IBK,CNY,1.05,IBK기업은행 (IBK)
2016,IBK,CNY,0.92,IBK기업은행 (IBK)
2017,IBK,CNY,0.85,IBK기업은행 (IBK)
2018,IBK,CNY,0.8,IBK기업은행 (IBK)
2019,IBK,CNY,0.75,IBK기업은행 (IBK)
2004,NH,CNY,1.55,NH농협은행 (NH Nonghyup)
2005,NH,CNY,1.55,NH농협은행 (NH Nonghyup)
2006,NH,CNY,1.85,NH농협은행 (NH Nonghyup)
2007,NH,CNY,3.35,NH농협은행 (NH Nonghyup)
2008,NH,CNY,1.55,NH농협은행 (NH Nonghyup)
2009,NH,CNY,1.55,NH농협은행 (NH Nonghyup)
2010,NH,CNY,2.05,NH농협은행 (NH Nonghyup)
2011,NH,CNY,2.75,NH농협은행 (NH Nonghyup)
2012,NH,CNY,2.35,NH농협은행 (NH Nonghyup)
2013,NH,CNY,2.35,NH농협은행 (NH Nonghyup)
2014,NH,CNY,2.05,NH농협은행 (NH Nonghyup)
2015,NH,CNY,0.85,NH농협은행 (NH Nonghyup)
2016,NH,CNY,0.75,NH농협은행 (NH Nonghyup)
2017,NH,CNY,0.7,NH농협은행 (NH Nonghyup)
2018,NH,CNY,0.65,NH농협은행 (NH Nonghyup)
2019,NH,CNY,0.6,NH농협은행 (NH Nonghyup)
2004,Woori,EUR,1.8,우리은행 (Woori Bank)
2005,Woori,EUR,1.85,우리은행 (Woori Bank)
2006,Woori,EUR,2.9,우리은행 (Woori Bank)
2007,Woori,EUR,4.0,우리은행 (Woori Bank)
2008,Woori,EUR,4.2,우리은행 (Woori Bank)
2009,Woori,EUR,0.9,우리은행 (Woori Bank)
2010,Woori,EUR,0.6,우리은행 (Woori Bank)
2011,Woori,EUR,1.0,우리은행 (Woori Bank)
2012,Woori,EUR,0.45,우리은행 (Woori Bank)
2013,Woori,EUR,0.15,우리은행 (Woori Bank)
2014,Woori,EUR,0.12,우리은행 (Woori Bank)
2015,Woori,EUR,0.01,우리은행 (Woori Bank)
2016,Woori,EUR,0.01,우리은행 (Woori Bank)
2017,Woori,EUR,0.01,우리은행 (Woori Bank)
2018,Woori,EUR,0.01,우리은행 (Woori Bank)
2019,Woori,EUR,0.01,우리은행 (Woori Bank)
2004,KDB,EUR,1.9,산업은행 (KDB)
2005,KDB,EUR,1.95,산업은행 (KDB)
2006,KDB,EUR,3.0,산업은행 (KDB)
2007,KDB,EUR,4.1,산업은행 (KDB)
2008,KDB,EUR,4.3,산업은행 (KDB)
2009,KDB,EUR,1.0,산업은행 (KDB)
2010,KDB,EUR,0.7,산업은행 (KDB)
2011,KDB,EUR,1.1,산업은행 (KDB)
2012,KDB,EUR,0.55,산업은행 (KDB)
2013,KDB,EUR,0.2,산업은행 (KDB)
2014,KDB,EUR,0.15,산업은행 (KDB)
2015,KDB,EUR,0.02,산업은행 (KDB)
2016,KDB,EUR,0.01,산업은행 (KDB)
2017,KDB,EUR,0.01,산업은행 (KDB)
2018,KDB,EUR,0.01,산업은행 (KDB)
2019,KDB,EUR,0.01,산업은행 (KDB)
2004,Shinhan,EUR,1.75,신한은행 (Shinhan Bank)
2005,Shinhan,EUR,1.8,신한은행 (Shinhan Bank)
2006,Shinhan,EUR,2.85,신한은행 (Shinhan Bank)
2007,Shinhan,EUR,3.95,신한은행 (Shinhan Bank)
2008,Shinhan,EUR,4.15,신한은행 (Shinhan Bank)
2009,Shinhan,EUR,0.85,신한은행 (Shinhan Bank)
2010,Shinhan,EUR,0.55,신한은행 (Shinhan Bank)
2011,Shinhan,EUR,0.95,신한은행 (Shinhan Bank)
2012,Shinhan,EUR,0.4,신한은행 (Shinhan Bank)
2013,Shinhan,EUR,0.12,신한은행 (Shinhan Bank)
2014,Shinhan,EUR,0.1,신한은행 (Shinhan Bank)
2015,Shinhan,EUR,0.01,신한은행 (Shinhan Bank)
2016,Shinhan,EUR,0.01,신한은행 (Shinhan Bank)
2017,Shinhan,EUR,0.01,신한은행 (Shinhan Bank)
2018,Shinhan,EUR,0.01,신한은행 (Shinhan Bank)
2019,Shinhan,EUR,0.01,신한은행 (Shinhan Bank)
2004,KEB_Hana,EUR,1.85,외환은행/KEB하나은행
2005,KEB_Hana,EUR,1.9,외환은행/KEB하나은행
2006,KEB_Hana,EUR,2.95,외환은행/KEB하나은행
2007,KEB_Hana,EUR,4.05,외환은행/KEB하나은행
2008,KEB_Hana,EUR,4.25,외환은행/KEB하나은행
2009,KEB_Hana,EUR,0.95,외환은행/KEB하나은행
2010,KEB_Hana,EUR,0.65,외환은행/KEB하나은행
2011,KEB_Hana,EUR,1.05,외환은행/KEB하나은행
2012,KEB_Hana,EUR,0.5,외환은행/KEB하나은행
2013,KEB_Hana,EUR,0.18,외환은행/KEB하나은행
2014,KEB_Hana,EUR,0.14,외환은행/KEB하나은행
2015,KEB_Hana,EUR,0.01,외환은행/KEB하나은행
2016,KEB_Hana,EUR,0.01,외환은행/KEB하나은행
2017,KEB_Hana,EUR,0.01,외환은행/KEB하나은행
2018,KEB_Hana,EUR,0.01,외환은행/KEB하나은행
2019,KEB_Hana,EUR,0.01,외환은행/KEB하나은행
2004,KB,EUR,1.7,국민은행 (KB Kookmin)
2005,KB,EUR,1.75,국민은행 (KB Kookmin)
2006,KB,EUR,2.8,국민은행 (KB Kookmin)
2007,KB,EUR,3.9,국민은행 (KB Kookmin)
2008,KB,EUR,4.1,국민은행 (KB Kookmin)
2009,KB,EUR,0.8,국민은행 (KB Kookmin)
2010,KB,EUR,0.5,국민은행 (KB Kookmin)
2011,KB,EUR,0.9,국민은행 (KB Kookmin)
2012,KB,EUR,0.35,국민은행 (KB Kookmin)
2013,KB,EUR,0.1,국민은행 (KB Kookmin)
2014,KB,EUR,0.08,국민은행 (KB Kookmin)
2015,KB,EUR,0.01,국민은행 (KB Kookmin)
2016,KB,EUR,0.01,국민은행 (KB Kookmin)
2017,KB,EUR,0.01,국민은행 (KB Kookmin)
2018,KB,EUR,0.01,국민은행 (KB Kookmin)
2019,KB,EUR,0.01,국민은행 (KB Kookmin)
2004,IBK,EUR,1.85,IBK기업은행 (IBK)
2005,IBK,EUR,1.9,IBK기업은행 (IBK)
2006,IBK,EUR,2.95,IBK기업은행 (IBK)
2007,IBK,EUR,4.05,IBK기업은행 (IBK)
2008,IBK,EUR,4.25,IBK기업은행 (IBK)
2009,IBK,EUR,0.95,IBK기업은행 (IBK)
2010,IBK,EUR,0.65,IBK기업은행 (IBK)
2011,IBK,EUR,1.05,IBK기업은행 (IBK)
2012,IBK,EUR,0.5,IBK기업은행 (IBK)
2013,IBK,EUR,0.18,IBK기업은행 (IBK)
2014,IBK,EUR,0.14,IBK기업은행 (IBK)
2015,IBK,EUR,0.01,IBK기업은행 (IBK)
2016,IBK,EUR,0.01,IBK기업은행 (IBK)
2017,IBK,EUR,0.01,IBK기업은행 (IBK)
2018,IBK,EUR,0.01,IBK기업은행 (IBK)
2019,IBK,EUR,0.01,IBK기업은행 (IBK)
2004,NH,EUR,1.65,NH농협은행 (NH Nonghyup)
2005,NH,EUR,1.7,NH농협은행 (NH Nonghyup)
2006,NH,EUR,2.75,NH농협은행 (NH Nonghyup)
2007,NH,EUR,3.85,NH농협은행 (NH Nonghyup)
2008,NH,EUR,4.05,NH농협은행 (NH Nonghyup)
2009,NH,EUR,0.75,NH농협은행 (NH Nonghyup)
2010,NH,EUR,0.45,NH농협은행 (NH Nonghyup)
2011,NH,EUR,0.85,NH농협은행 (NH Nonghyup)
2012,NH,EUR,0.3,NH농협은행 (NH Nonghyup)
2013,NH,EUR,0.08,NH농협은행 (NH Nonghyup)
2014,NH,EUR,0.05,NH농협은행 (NH Nonghyup)
2015,NH,EUR,0.01,NH농협은행 (NH Nonghyup)
2016,NH,EUR,0.01,NH농협은행 (NH Nonghyup)
2017,NH,EUR,0.01,NH농협은행 (NH Nonghyup)
2018,NH,EUR,0.01,NH농협은행 (NH Nonghyup)
2019,NH,EUR,0.01,NH농협은행 (NH Nonghyup)
2004,Woori,GBP,4.4,우리은행 (Woori Bank)
2005,Woori,GBP,4.2,우리은행 (Woori Bank)
2006,Woori,GBP,4.6,우리은행 (Woori Bank)
2007,Woori,GBP,5.5,우리은행 (Woori Bank)
2008,Woori,GBP,5.0,우리은행 (Woori Bank)
2009,Woori,GBP,1.1,우리은행 (Woori Bank)
2010,Woori,GBP,0.7,우리은행 (Woori Bank)
2011,Woori,GBP,1.0,우리은행 (Woori Bank)
2012,Woori,GBP,1.0,우리은행 (Woori Bank)
2013,Woori,GBP,0.55,우리은행 (Woori Bank)
2014,Woori,GBP,0.55,우리은행 (Woori Bank)
2015,Woori,GBP,0.55,우리은행 (Woori Bank)
2016,Woori,GBP,0.45,우리은행 (Woori Bank)
2017,Woori,GBP,0.3,우리은행 (Woori Bank)
2018,Woori,GBP,0.65,우리은행 (Woori Bank)
2019,Woori,GBP,0.65,우리은행 (Woori Bank)
2004,KDB,GBP,4.5,산업은행 (KDB)
2005,KDB,GBP,4.3,산업은행 (KDB)
2006,KDB,GBP,4.7,산업은행 (KDB)
2007,KDB,GBP,5.6,산업은행 (KDB)
2008,KDB,GBP,5.1,산업은행 (KDB)
